wavelength,flux
562.8,0.539839017
563.4,0.560942245
564.1,0.549696345
564.8,0.546827649
565.5,0.533674372
566.1,0.549925231
566.8,0.537168688
567.5,0.548323033
568.2,0.54337911
568.8,0.517560845
569.5,0.531904326
570.2,0.544538796
570.9,0.547636378
571.5,0.520521096
572.2,0.522596323
572.9,0.513990234
573.6,0.502454414
574.2,0.503965057
574.9,0.522733654
575.6,0.515699245
576.3,0.512738994
576.9,0.510877394
577.6,0.501783017
578.3,0.494519722
579,0.488614481
579.6,0.491025406
580.3,0.501783017
581,0.501477836
581.7,0.477536431
582.3,0.485272755
583,0.508329137
583.7,0.500684367
584.4,0.493665217
585,0.511792935
585.7,0.504422827
586.4,0.5154551
587.1,0.506803235
587.8,0.526914626
588.4,0.504972152
589.1,0.486676585
589.7,0.506543832
590.4,0.510419623
591,0.503064775
591.7,0.476361486
592.4,0.450222782
593,0.440548562
593.7,0.481595331
594.3,0.484341955
595,0.47723125
595.6,0.49065919
596.3,0.488583963
597,0.489758907
597.6,0.481839475
598.3,0.485547417
598.9,0.487775235
599.6,0.485272755
600.3,0.487347982
600.9,0.46975433
601.6,0.477429618
602.2,0.472775616
602.9,0.48316701
603.5,0.47161593
604.2,0.464657816
604.9,0.460339513
605.5,0.460995651
606.2,0.476880293
606.8,0.466809339
607.5,0.470410468
608.2,0.458935683
608.8,0.46444419
609.5,0.467434958
610.1,0.465741207
610.8,0.444546426
611.4,0.452725261
612.1,0.45010071
612.8,0.442089723
613.4,0.431438926
614.1,0.438412299
614.7,0.436459144
615.4,0.422588693
616.1,0.420391394
616.7,0.415355917
617.4,0.422298772
618,0.423458457
618.7,0.412227817
619.3,0.405269703
620,0.405681697
620.7,0.421337453
621.3,0.421764706
622,0.420498207
622.6,0.414180972
623.3,0.418163577
624,0.429302663
624.6,0.415630579
625.3,0.418651865
625.9,0.409145495
626.6,0.408870832
627.2,0.407512779
627.9,0.395412375
628.6,0.38846952
629.2,0.381984436
629.9,0.400127413
630.5,0.38628748
631.2,0.366328679
631.8,0.378062867
632.5,0.381404593
633.2,0.375499351
633.8,0.375285725
634.5,0.363170062
635.1,0.364955367
635.8,0.381389334
636.5,0.392467384
637.1,0.370494392
637.8,0.369456779
638.4,0.36490959
639.1,0.371348898
639.7,0.366984817
640.4,0.38238117
641.1,0.356929122
641.7,0.370112917
642.4,0.371501488
643,0.359736782
643.7,0.360423438
644.3,0.350962844
645,0.356227207
645.6,0.360362402
646.3,0.354762341
646.9,0.350764477
647.6,0.351924163
648.2,0.343455406
648.9,0.345759518
649.5,0.331004044
650.2,0.336237888
650.8,0.334773022
651.5,0.335612268
652.1,0.328150607
652.8,0.325877012
653.4,0.307322042
654.1,0.331019303
654.7,0.319529259
655.4,0.312586404
656,0.305353628
656.7,0.316507973
657.3,0.312052338
658,0.30391928
658.6,0.277917906
659.3,0.244561685
659.9,0.259729152
660.6,0.289346914
661.2,0.301783017
661.9,0.302133974
662.5,0.290292973
663.2,0.294519722
663.8,0.295786221
664.5,0.299997711
665.1,0.295343709
665.8,0.289423209
666.4,0.291208515
667.1,0.289621576
667.8,0.293695735
668.4,0.300135042
669.1,0.277338064
669.7,0.278772412
670.4,0.280405127
671.1,0.272623026
671.7,0.280862898
672.4,0.274621958
673.1,0.273294423
673.7,0.267785916
674.4,0.267969024
675.1,0.272455177
675.7,0.266809339
676.4,0.26569543
677.1,0.265207141
677.7,0.269464408
678.4,0.261926452
679.1,0.261972229
679.7,0.261621271
680.4,0.251779202
681.1,0.249902342
681.7,0.252038605
682.4,0.245355154
683.1,0.237115282
683.7,0.235024796
684.4,0.238152895
685.1,0.238992142
685.7,0.23526894
686.4,0.24587396
687.1,0.225030137
687.7,0.229150072
688.4,0.223229572
689.1,0.209633783
689.7,0.176948959
690.4,0.127860685
691.1,0.150810254
691.7,0.166694896
692.4,0.166130312
693.1,0.165138476
693.7,0.180656901
694.4,0.178978408
695.1,0.182823682
695.7,0.192406348
696.4,0.190407416
697.1,0.200920882
697.7,0.192391089
698.4,0.197029831
699.1,0.198525216
699.7,0.202492561
700.4,0.198799878
701.1,0.208138399
701.7,0.195595483
702.4,0.203347066
703.1,0.197243458
703.7,0.19799115
704.4,0.194924086
705.1,0.20313344
705.7,0.196251621
